model,lDDToligo_True,TMscore,QSglob,lDDToligo_EnQA-MSA
H1140TS227_1,0.762,0.617,0.108,0.7314453125
H1140TS493_4,0.697,0.604,0.107,0.72802734375
H1140TS312_1,0.736,0.617,0.101,0.70263671875
H1140TS035_5,0.75,0.616,0.098,0.71728515625
H1140TS248_5,0.75,0.616,0.098,0.71728515625
H1140TS119_5,0.752,0.617,0.096,0.73974609375
H1140TS493_3,0.707,0.605,0.093,0.73876953125
H1140TS446_2,0.73,0.615,0.093,0.705078125
H1140TS493_5,0.699,0.607,0.093,0.7265625
H1140TS461_2,0.73,0.615,0.093,0.705078125
H1140TS312_2,0.73,0.654,0.089,0.7021484375
H1140TS225_3,0.747,0.616,0.084,0.84375
H1140TS092_1,0.699,0.609,0.082,0.814453125
H1140TS439_3,0.736,0.612,0.076,0.72802734375
H1140TS165_2,0.687,0.666,0.076,0.4345703125
H1140TS493_2,0.731,0.68,0.076,0.7353515625
H1140TS398_3,0.714,0.624,0.075,0.72998046875
H1140TS446_5,0.732,0.612,0.072,0.73779296875
H1140TS461_5,0.732,0.612,0.072,0.73779296875
H1140TS398_1,0.72,0.624,0.069,0.7451171875
H1140TS071_2,0.714,0.603,0.068,0.6845703125
H1140TS071_4,0.729,0.603,0.067,0.67919921875
H1140TS185_4,0.742,0.615,0.067,0.76904296875
H1140TS071_1,0.716,0.602,0.067,0.6865234375
H1140TS225_2,0.736,0.612,0.067,0.841796875
H1140TS278_3,0.753,0.611,0.064,0.7841796875
H1140TS071_3,0.709,0.602,0.064,0.68212890625
H1140TS225_1,0.735,0.611,0.063,0.8427734375
H1140TS225_4,0.738,0.612,0.061,0.8369140625
H1140TS350_4,0.73,0.611,0.056,0.7021484375
H1140TS291_4,0.73,0.611,0.056,0.7021484375
H1140TS291_3,0.731,0.608,0.055,0.70263671875
H1140TS350_3,0.731,0.608,0.055,0.70263671875
H1140TS494_4,0.703,0.647,0.052,0.79248046875
H1140TS071_5,0.726,0.604,0.052,0.6865234375
H1140TS215_3,0.746,0.617,0.047,0.77197265625
H1140TS035_4,0.751,0.607,0.046,0.7216796875
H1140TS248_4,0.751,0.607,0.046,0.7216796875
H1140TS158_4,0.738,0.607,0.042,0.6953125
H1140TS215_4,0.732,0.608,0.037,0.76806640625
H1140TS350_5,0.748,0.609,0.036,0.70166015625
H1140TS291_5,0.748,0.609,0.036,0.70166015625
H1140TS073_3,0.658,0.58,0.035,0.71728515625
H1140TS215_1,0.744,0.607,0.033,0.78759765625
H1140TS444_3,0.717,0.625,0.033,0.82080078125
H1140TS037_4,0.729,0.608,0.031,0.80810546875
H1140TS165_5,0.644,0.602,0.03,0.54541015625
H1140TS397_1,0.722,0.602,0.03,0.372314453125
H1140TS439_1,0.739,0.607,0.028,0.728515625
H1140TS441_1,0.742,0.609,0.026,0.76025390625
H1140TS439_2,0.732,0.605,0.026,0.7138671875
H1140TS433_1,0.742,0.609,0.026,0.76025390625
H1140TS441_2,0.742,0.609,0.025,0.7578125
H1140TS433_2,0.742,0.609,0.025,0.7578125
H1140TS187_2,0.75,0.606,0.024,0.7275390625
H1140TS441_5,0.742,0.608,0.023,0.74853515625
H1140TS433_5,0.742,0.608,0.023,0.74853515625
H1140TS205_5,0.676,0.59,0.022,0.69970703125
H1140TS439_4,0.742,0.607,0.021,0.73583984375
H1140TS423_1,0.761,0.609,0.018,0.71240234375
H1140TS187_1,0.761,0.609,0.018,0.71240234375
H1140TS119_3,0.741,0.608,0.017,0.7119140625
H1140TS131_5,0.741,0.608,0.017,0.7119140625
H1140TS054_5,0.758,0.608,0.017,0.71630859375
H1140TS439_5,0.739,0.604,0.017,0.72705078125
H1140TS125_5,0.758,0.608,0.017,0.71630859375
H1140TS399_5,0.758,0.608,0.017,0.71630859375
H1140TS091_4,0.7,0.6,0.016,0.56494140625
H1140TS205_4,0.738,0.605,0.016,0.7021484375
H1140TS288_4,0.723,0.607,0.015,0.69921875
H1140TS288_3,0.723,0.607,0.015,0.69921875
H1140TS288_2,0.723,0.607,0.015,0.69921875
H1140TS288_5,0.723,0.607,0.015,0.69921875
H1140TS288_1,0.723,0.607,0.015,0.69921875
H1140TS433_3,0.739,0.607,0.014,0.755859375
H1140TS441_3,0.739,0.607,0.014,0.755859375
H1140TS315_1,0.357,0.545,0.014,0.87255859375
H1140TS052_1,0.357,0.545,0.014,0.87255859375
H1140TS245_3,0.747,0.606,0.013,0.8369140625
H1140TS180_1,0.746,0.609,0.013,0.78564453125
H1140TS245_5,0.721,0.601,0.012,0.8046875
H1140TS215_5,0.736,0.606,0.012,0.7568359375
H1140TS225_5,0.734,0.609,0.012,0.8134765625
H1140TS086_2,0.733,0.601,0.011,0.77099609375
H1140TS360_3,0.749,0.602,0.01,0.74462890625
H1140TS234_2,0.704,0.613,0.009,0.48046875
H1140TS245_4,0.695,0.599,0.009,0.7763671875
H1140TS147_5,0.678,0.612,0.009,0.46533203125
H1140TS133_5,0.756,0.607,0.008,0.72119140625
H1140TS227_5,0.756,0.607,0.008,0.72119140625
H1140TS185_5,0.743,0.605,0.007,0.7421875
H1140TS423_2,0.747,0.605,0.007,0.72412109375
H1140TS187_3,0.747,0.605,0.007,0.72412109375
H1140TS291_2,0.735,0.602,0.006,0.70166015625
H1140TS433_4,0.739,0.607,0.006,0.755859375
H1140TS350_2,0.735,0.602,0.006,0.70166015625
H1140TS441_4,0.739,0.607,0.006,0.755859375
H1140TS239_2,0.736,0.603,0.005,0.71630859375
H1140TS165_3,0.732,0.651,0.005,0.7119140625
H1140TS278_4,0.733,0.609,0.004,0.73291015625
H1140TS385_1,0.736,0.608,0.004,0.822265625
H1140TS314_3,0.705,0.594,0.004,0.7021484375
H1140TS494_5,0.757,0.607,0.004,0.76416015625
H1140TS091_5,0.695,0.605,0.004,0.572265625
H1140TS245_1,0.736,0.608,0.004,0.822265625
H1140TS125_3,0.758,0.604,0.003,0.71728515625
H1140TS086_4,0.746,0.606,0.003,0.74072265625
H1140TS399_3,0.758,0.604,0.003,0.71728515625
H1140TS054_3,0.758,0.604,0.003,0.71728515625
H1140TS158_5,0.757,0.604,0.002,0.73876953125
H1140TS037_2,0.744,0.599,0.002,0.8486328125
H1140TS091_2,0.696,0.605,0.002,0.61767578125
H1140TS098_1,0.744,0.605,0.001,0.83349609375
H1140TS227_4,0.744,0.605,0.001,0.72705078125
H1140TS086_3,0.753,0.607,0.001,0.732421875
H1140TS434_2,0.74,0.604,0.001,0.7373046875
H1140TS245_2,0.73,0.605,0.001,0.7998046875
H1140TS180_4,0.745,0.602,0.001,0.80712890625
H1140TS073_2,0.657,0.582,0.001,0.7138671875
H1140TS133_4,0.744,0.605,0.001,0.72705078125
H1140TS011_2,0.74,0.604,0.001,0.7373046875
H1140TS188_1,0.744,0.605,0.001,0.72607421875
H1140TS158_2,0.751,0.608,0.0,0.74560546875
H1140TS367_4,0.751,0.608,0.0,0.734375
H1140TS461_3,0.745,0.606,0.0,0.70556640625
H1140TS434_1,0.743,0.6,0.0,0.72021484375
H1140TS434_3,0.758,0.605,0.0,0.73291015625
H1140TS423_3,0.753,0.608,0.0,0.72265625
H1140TS434_5,0.756,0.6,0.0,0.732421875
H1140TS462_4,0.751,0.597,0.0,0.7578125
H1140TS097_5,0.729,0.592,0.0,0.8486328125
H1140TS098_2,0.748,0.606,0.0,0.83740234375
H1140TS098_5,0.516,0.598,0.0,0.81494140625
H1140TS073_5,0.666,0.588,0.0,0.7255859375
H1140TS125_2,0.742,0.604,0.0,0.7275390625
H1140TS125_4,0.759,0.603,0.0,0.72509765625
H1140TS169_4,0.746,0.604,0.0,0.732421875
H1140TS097_4,0.678,0.584,0.0,0.76904296875
H1140TS188_2,0.738,0.604,0.0,0.798828125
H1140TS333_5,0.502,0.093,0.0,0.63134765625
H1140TS367_2,0.749,0.607,0.0,0.7451171875
H1140TS447_1,0.663,0.577,0.0,0.68896484375
H1140TS461_1,0.744,0.603,0.0,0.73046875
H1140TS091_3,0.676,0.599,0.0,0.5908203125
H1140TS003_2,0.751,0.607,0.0,0.7275390625
H1140TS003_3,0.749,0.607,0.0,0.74365234375
H1140TS011_3,0.758,0.605,0.0,0.73291015625
H1140TS035_2,0.732,0.599,0.0,0.72265625
H1140TS278_1,0.736,0.598,0.0,0.82568359375
H1140TS169_3,0.752,0.606,0.0,0.73046875
H1140TS180_5,0.743,0.597,0.0,0.8046875
H1140TS205_1,0.735,0.597,0.0,0.703125
H1140TS205_3,0.735,0.599,0.0,0.70263671875
H1140TS234_1,0.703,0.607,0.0,0.481201171875
H1140TS248_1,0.73,0.597,0.0,0.75732421875
H1140TS257_5,0.629,0.573,0.0,0.7578125
H1140TS239_4,0.712,0.599,0.0,0.7216796875
H1140TS333_2,0.506,0.093,0.0,0.62353515625
H1140TS348_1,0.741,0.596,0.0,0.71875
H1140TS360_4,0.752,0.602,0.0,0.74072265625
H1140TS367_1,0.75,0.607,0.0,0.74560546875
H1140TS367_3,0.749,0.607,0.0,0.74365234375
H1140TS368_3,0.489,0.091,0.0,0.64404296875
H1140TS368_4,0.505,0.591,0.0,0.59912109375
H1140TS374_4,0.746,0.607,0.0,0.8232421875
H1140TS131_4,0.73,0.599,0.0,0.68701171875
H1140TS185_2,0.729,0.6,0.0,0.8212890625
H1140TS180_3,0.743,0.598,0.0,0.798828125
H1140TS150_2,0.752,0.606,0.0,0.74658203125
H1140TS298_3,0.743,0.605,0.0,0.7197265625
H1140TS314_2,0.686,0.576,0.0,0.7021484375
H1140TS350_1,0.742,0.602,0.0,0.7021484375
H1140TS423_4,0.742,0.6,0.0,0.73876953125
H1140TS423_5,0.743,0.602,0.0,0.73046875
H1140TS461_4,0.748,0.604,0.0,0.71484375
H1140TS333_3,0.489,0.091,0.0,0.64404296875
H1140TS333_1,0.511,0.092,0.0,0.61767578125
H1140TS097_3,0.737,0.6,0.0,0.810546875
H1140TS147_4,0.681,0.589,0.0,0.60107421875
H1140TS150_3,0.746,0.604,0.0,0.74609375
H1140TS320_3,0.752,0.606,0.0,0.73046875
H1140TS180_2,0.743,0.605,0.0,0.794921875
H1140TS298_2,0.755,0.605,0.0,0.728515625
H1140TS348_2,0.743,0.598,0.0,0.72314453125
H1140TS348_4,0.742,0.6,0.0,0.73291015625
H1140TS291_1,0.742,0.602,0.0,0.7021484375
H1140TS447_2,0.657,0.577,0.0,0.68701171875
H1140TS257_2,0.622,0.56,0.0,0.7626953125
H1140TS003_5,0.75,0.607,0.0,0.74560546875
H1140TS011_1,0.743,0.6,0.0,0.72021484375
H1140TS011_5,0.756,0.6,0.0,0.732421875
H1140TS248_2,0.732,0.599,0.0,0.72265625
H1140TS133_2,0.743,0.6,0.0,0.73828125
H1140TS234_3,0.704,0.607,0.0,0.48095703125
H1140TS150_5,0.74,0.6,0.0,0.7451171875
H1140TS158_1,0.751,0.608,0.0,0.734375
H1140TS158_3,0.751,0.605,0.0,0.7314453125
H1140TS187_4,0.753,0.608,0.0,0.72265625
H1140TS367_5,0.749,0.607,0.0,0.74609375
H1140TS446_3,0.745,0.606,0.0,0.70556640625
H1140TS227_2,0.743,0.6,0.0,0.73828125
H1140TS185_3,0.749,0.601,0.0,0.744140625
H1140TS257_3,0.612,0.564,0.0,0.7578125
H1140TS278_2,0.747,0.599,0.0,0.78955078125
H1140TS147_3,0.681,0.589,0.0,0.4609375
H1140TS298_4,0.75,0.606,0.0,0.7392578125
H1140TS320_4,0.746,0.604,0.0,0.73291015625
H1140TS333_4,0.505,0.591,0.0,0.59912109375
H1140TS360_1,0.742,0.602,0.0,0.73828125
H1140TS360_5,0.749,0.602,0.0,0.73876953125
H1140TS073_1,0.654,0.585,0.0,0.68115234375
H1140TS086_1,0.75,0.607,0.0,0.74560546875
H1140TS390_4,0.746,0.604,0.0,0.732421875
H1140TS397_5,0.74,0.601,0.0,0.36962890625
H1140TS462_2,0.749,0.599,0.0,0.75732421875
H1140TS446_4,0.748,0.604,0.0,0.71484375
H1140TS462_3,0.749,0.598,0.0,0.76123046875
H1140TS447_4,0.653,0.576,0.0,0.68994140625
H1140TS098_3,0.742,0.6,0.0,0.7744140625
H1140TS399_4,0.759,0.603,0.0,0.72509765625
H1140TS446_1,0.744,0.603,0.0,0.73046875
H1140TS097_2,0.748,0.599,0.0,0.80908203125
H1140TS131_3,0.743,0.6,0.0,0.73095703125
H1140TS185_1,0.743,0.602,0.0,0.76220703125
H1140TS187_5,0.742,0.6,0.0,0.73876953125
H1140TS239_1,0.727,0.599,0.0,0.71533203125
H1140TS257_1,0.624,0.568,0.0,0.75634765625
H1140TS298_5,0.74,0.601,0.0,0.732421875
H1140TS035_1,0.73,0.597,0.0,0.75732421875
H1140TS368_5,0.502,0.093,0.0,0.63134765625
H1140TS003_4,0.749,0.607,0.0,0.7451171875
H1140TS368_1,0.511,0.092,0.0,0.61767578125
H1140TS447_3,0.653,0.576,0.0,0.68994140625
H1140TS037_3,0.725,0.592,0.0,0.85595703125
H1140TS234_4,0.695,0.617,0.0,0.4833984375
H1140TS037_5,0.754,0.592,0.0,0.8076171875
H1140TS257_4,0.638,0.574,0.0,0.7607421875
H1140TS314_4,0.691,0.62,0.0,0.70068359375
H1140TS086_5,0.747,0.601,0.0,0.74755859375
H1140TS091_1,0.679,0.6,0.0,0.609375
H1140TS188_4,0.739,0.609,0.0,0.77880859375
H1140TS205_2,0.735,0.596,0.0,0.732421875
H1140TS054_4,0.759,0.603,0.0,0.72509765625
H1140TS360_2,0.764,0.602,0.0,0.73876953125
H1140TS098_4,0.574,0.602,0.0,0.7841796875
H1140TS054_2,0.742,0.604,0.0,0.7275390625
H1140TS390_3,0.752,0.606,0.0,0.73046875
H1140TS368_2,0.506,0.093,0.0,0.62353515625
H1140TS397_2,0.727,0.592,0.0,0.369384765625
H1140TS397_3,0.731,0.59,0.0,0.369140625
H1140TS097_1,0.747,0.602,0.0,0.78564453125
H1140TS398_4,0.731,0.61,0.0,0.73291015625
H1140TS399_2,0.742,0.604,0.0,0.7275390625
H1140TS447_5,0.654,0.575,0.0,0.68310546875
H1140TS003_1,0.751,0.608,0.0,0.734375
H1140TS188_5,0.748,0.606,0.0,0.7294921875
H1140TS397_4,0.732,0.593,0.0,0.37109375
